Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
6317,org/apache/commons/imaging/internal/Debug.java,221,22,VoidMethodCallMutator,SURVIVED,no,high,1 min,
6594,org/apache/commons/imaging/formats/jpeg/iptc/IptcParser.java,382,177,VoidMethodCallMutator,SURVIVED,no,high,1 min,flush()
6837,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,314,254,MathMutator,NO_COVERAGE,no,high,1 min,
6845,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,287,63,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6853,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,310,226,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6861,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,313,248,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,missing write()
6904,org/apache/commons/imaging/formats/tiff/datareaders/BitInputStream.java,115,272,MathMutator,NO_COVERAGE,no,high,1 min,
6940,org/apache/commons/imaging/formats/tiff/datareaders/BitInputStream.java,79,114,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7107,org/apache/commons/imaging/formats/bmp/PixelParserRgb.java,52,83,MathMutator,SURVIVED,no,high,1 min,
7249,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterLogLuv.java,35,7,MathMutator,NO_COVERAGE,no,high,1 min,
7286,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterLogLuv.java,98,207,MathMutator,NO_COVERAGE,no,high,1 min,
7322,org/apache/commons/imaging/ImageParser.java,934,13,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7401,org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless.java,236,136,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
7520,org/apache/commons/imaging/palette/ColorGroup.java,75,214,MathMutator,SURVIVED,no,high,1 min,
7594,org/apache/commons/imaging/common/bytesource/ByteSourceInputStream.java,126,19,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,wrong IndexOutOfBoundExceptions
7664,org/apache/commons/imaging/formats/bmp/PixelParserBitFields.java,106,217,InvertNegsMutator,SURVIVED,no,medium,1 min,
7702,org/apache/commons/imaging/formats/bmp/PixelParserBitFields.java,116,23,MathMutator,NO_COVERAGE,no,high,1 min,
8254,org/apache/commons/imaging/palette/MedianCutQuantizer.java,116,147,NegateConditionalsMutator,SURVIVED,no,high,1 min,
8269,org/apache/commons/imaging/FormatCompliance.java,130,37,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8329,org/apache/commons/imaging/formats/jpeg/JpegUtils.java,141,94,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8366,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterYCbCr.java,55,36,MathMutator,NO_COVERAGE,no,high,1 min,
8398,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterYCbCr.java,82,104,MathMutator,NO_COVERAGE,no,high,1 min,
8433,org/apache/commons/imaging/palette/QuantizedPalette.java,54,32,MathMutator,SURVIVED,no,high,1 min,
8462,org/apache/commons/imaging/formats/icns/IcnsType.java,154,52,ReturnValsMutator,NO_COVERAGE,no,high,1 min,throws RunTimeException instead of return null
8476,org/apache/commons/imaging/formats/icns/IcnsType.java,118,33,ReturnValsMutator,NO_COVERAGE,no,high,1 min,return null instead of string?
8533,org/apache/commons/imaging/common/ImageBuilder.java,71,8,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
8899,org/apache/commons/imaging/common/bytesource/ByteSourceInputStream.java,248,34,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
8920,org/apache/commons/imaging/palette/MostPopulatedBoxesMedianCut.java,77,204,IncrementsMutator,NO_COVERAGE,no,high,1 min,
8963,org/apache/commons/imaging/formats/jpeg/JpegImageMetadata.java,131,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8974,org/apache/commons/imaging/formats/jpeg/JpegImageMetadata.java,86,14,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8985,org/apache/commons/imaging/formats/jpeg/JpegImageMetadata.java,184,58,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
9142,org/apache/commons/imaging/icc/IccProfileInfo.java,75,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
