Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
6938,org/apache/commons/lang3/math/Fraction.java,543,37,MathMutator,SURVIVED,no,high,1 min,
6989,org/apache/commons/lang3/builder/EqualsBuilder.java,747,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7038,org/apache/commons/lang3/builder/EqualsBuilder.java,1004,53,ReturnValsMutator,SURVIVED,no,high,1 min,
7051,org/apache/commons/lang3/builder/EqualsBuilder.java,962,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7320,org/apache/commons/lang3/ClassUtils.java,1058,9,NegateConditionalsMutator,SURVIVED,no,high,1 min,
7724,org/apache/commons/lang3/time/DateUtils.java,1781,18,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8257,org/apache/commons/lang3/time/FastDatePrinter.java,646,15,MathMutator,SURVIVED,no,high,1 min,hashcode
8421,org/apache/commons/lang3/text/StrSubstitutor.java,1021,19,ReturnValsMutator,SURVIVED,no,high,1 min,
8434,org/apache/commons/lang3/text/StrSubstitutor.java,795,157,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
8547,org/apache/commons/lang3/text/StrTokenizer.java,552,18,ReturnValsMutator,SURVIVED,no,high,1 min,
8677,org/apache/commons/lang3/reflect/MethodUtils.java,1002,75,IncrementsMutator,NO_COVERAGE,no,high,1 min,
8764,org/apache/commons/lang3/reflect/MethodUtils.java,475,46,VoidMethodCallMutator,SURVIVED,no,high,1 min,System.arraycopy
8825,org/apache/commons/lang3/time/DurationFormatUtils.java,198,88,NegateConditionalsMutator,SURVIVED,no,high,1 min,
8941,org/apache/commons/lang3/builder/DiffBuilder.java,325,5,VoidMethodCallMutator,SURVIVED,no,high,1 min,
8951,org/apache/commons/lang3/builder/DiffBuilder.java,485,5,VoidMethodCallMutator,SURVIVED,no,high,1 min,
8980,org/apache/commons/lang3/builder/DiffBuilder.java,829,100,ReturnValsMutator,SURVIVED,no,high,1 min,
9005,org/apache/commons/lang3/builder/DiffBuilder.java,167,5,VoidMethodCallMutator,SURVIVED,no,high,1 min,
9097,org/apache/commons/lang3/Validate.java,985,6,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
9369,org/apache/commons/lang3/builder/HashCodeBuilder.java,165,15,NegateConditionalsMutator,SURVIVED,no,high,1 min,
9583,org/apache/commons/lang3/reflect/FieldUtils.java,732,83,VoidMethodCallMutator,SURVIVED,no,high,1 min,setter
9597,org/apache/commons/lang3/reflect/FieldUtils.java,783,15,VoidMethodCallMutator,SURVIVED,no,high,1 min,
9641,org/apache/commons/lang3/text/ExtendedMessageFormat.java,184,203,VoidMethodCallMutator,SURVIVED,no,high,1 min,
9650,org/apache/commons/lang3/text/ExtendedMessageFormat.java,527,43,ReturnValsMutator,SURVIVED,no,high,1 min,
9937,org/apache/commons/lang3/reflect/MemberUtils.java,216,61,NegateConditionalsMutator,SURVIVED,no,high,1 min,
9980,org/apache/commons/lang3/reflect/MemberUtils.java,156,44,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
10047,org/apache/commons/lang3/time/FastDateParser.java,642,57,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
10077,org/apache/commons/lang3/time/FastDateParser.java,315,14,MathMutator,SURVIVED,no,high,1 min,hashcode
10642,org/apache/commons/lang3/builder/ReflectionToStringBuilder.java,397,8,ReturnValsMutator,SURVIVED,no,high,1 min,
10679,org/apache/commons/lang3/builder/ToStringStyle.java,2479,34,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
10680,org/apache/commons/lang3/builder/ToStringStyle.java,2486,4,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
10689,org/apache/commons/lang3/builder/ToStringStyle.java,2438,4,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
10690,org/apache/commons/lang3/builder/ToStringStyle.java,2442,18,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
10701,org/apache/commons/lang3/builder/ToStringStyle.java,2534,4,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
11156,org/apache/commons/lang3/JavaVersion.java,194,140,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
11244,org/apache/commons/lang3/text/StrBuilder.java,3012,13,ConditionalsBoundaryMutator,SURVIVED,yes,high,1 min,
11364,org/apache/commons/lang3/builder/StandardToStringStyle.java,405,5,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,setter
11783,org/apache/commons/lang3/text/translate/OctalUnescaper.java,43,6,MathMutator,SURVIVED,no,high,1 min,
11870,org/apache/commons/lang3/text/translate/UnicodeUnescaper.java,43,30,MathMutator,SURVIVED,no,high,1 min,
12111,org/apache/commons/lang3/exception/DefaultExceptionContext.java,134,29,ConditionalsBoundaryMutator,SURVIVED,no,medium,1 min,buffer contains one more \n character
12384,org/apache/commons/lang3/time/FastDatePrinter.java,1562,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
12658,org/apache/commons/lang3/reflect/TypeLiteral.java,111,7,MathMutator,NO_COVERAGE,no,high,1 min,hashcode
12660,org/apache/commons/lang3/reflect/TypeLiteral.java,116,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
12747,org/apache/commons/lang3/time/FormatCache.java,251,5,NegateConditionalsMutator,SURVIVED,no,high,1 min,
12816,org/apache/commons/lang3/text/translate/JavaUnicodeEscaper.java,53,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
12824,org/apache/commons/lang3/time/FastDatePrinter.java,1182,6,ReturnValsMutator,SURVIVED,no,high,1 min,
12825,org/apache/commons/lang3/ThreadUtils.java,336,10,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
12840,org/apache/commons/lang3/time/FastDateParser.java,924,10,VoidMethodCallMutator,SURVIVED,no,high,1 min,setter
12883,org/apache/commons/lang3/concurrent/EventCountCircuitBreaker.java,538,5,ReturnValsMutator,SURVIVED,no,high,1 min,
12887,org/apache/commons/lang3/text/StrMatcher.java,290,16,VoidMethodCallMutator,SURVIVED,no,medium,1 min,it's not void?
