Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
4485,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,2165,14,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4490,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,2143,106,MathMutator,NO_COVERAGE,no,high,1 min,
4515,org/apache/commons/collections4/list/TreeList.java,1023,21,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4585,org/apache/commons/collections4/list/NodeCachingLinkedList.java,165,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4621,org/apache/commons/collections4/bidimap/DualTreeBidiMap.java,203,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
4674,org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,299,19,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
4705,org/apache/commons/collections4/list/AbstractLinkedList.java,916,24,MathMutator,NO_COVERAGE,no,high,1 min,
4706,org/apache/commons/collections4/list/AbstractLinkedList.java,917,32,MathMutator,NO_COVERAGE,no,high,1 min,
4730,org/apache/commons/collections4/list/AbstractLinkedList.java,891,4,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
4853,org/apache/commons/collections4/bag/CollectionBag.java,142,27,NegateConditionalsMutator,SURVIVED,no,high,1 min,
4878,org/apache/commons/collections4/functors/FunctorUtils.java,157,4,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5019,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,2024,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5075,org/apache/commons/collections4/ArrayStack.java,111,26,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5084,org/apache/commons/collections4/ArrayStack.java,152,6,MathMutator,NO_COVERAGE,no,high,1 min,
5092,org/apache/commons/collections4/functors/SwitchTransformer.java,132,9,NegateConditionalsMutator,SURVIVED,no,high,1 min,
5121,org/apache/commons/collections4/multimap/AbstractMultiValuedMapDecorator.java,87,7,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5253,org/apache/commons/collections4/functors/SwitchClosure.java,183,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5254,org/apache/commons/collections4/functors/SwitchClosure.java,163,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5365,org/apache/commons/collections4/multimap/AbstractListValuedMap.java,198,9,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
5462,org/apache/commons/collections4/multimap/TransformedMultiValuedMap.java,151,17,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5487,org/apache/commons/collections4/map/Flat3Map.java,740,29,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5687,org/apache/commons/collections4/list/LazyList.java,175,22,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5880,org/apache/commons/collections4/functors/ConstantTransformer.java,115,39,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,equals()
5886,org/apache/commons/collections4/functors/ConstantTransformer.java,125,19,MathMutator,NO_COVERAGE,no,high,1 min,hashcode()
6180,org/apache/commons/collections4/collection/UnmodifiableBoundedCollection.java,171,6,ReturnValsMutator,NO_COVERAGE,no,high,5 min,
6312,org/apache/commons/collections4/bidimap/AbstractDualBidiMap.java,803,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6319,org/apache/commons/collections4/trie/KeyAnalyzer.java,141,4,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6578,org/apache/commons/collections4/bidimap/TreeBidiMap.java,1632,37,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6626,org/apache/commons/collections4/functors/ForClosure.java,93,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6627,org/apache/commons/collections4/functors/ForClosure.java,103,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6700,org/apache/commons/collections4/list/AbstractLinkedList.java,943,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6744,org/apache/commons/collections4/map/AbstractHashedMap.java,849,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6748,org/apache/commons/collections4/iterators/EntrySetMapIterator.java,132,19,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6749,org/apache/commons/collections4/iterators/EntrySetMapIterator.java,67,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6846,org/apache/commons/collections4/multiset/SynchronizedMultiSet.java,86,5,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
6908,org/apache/commons/collections4/bidimap/UnmodifiableSortedBidiMap.java,129,11,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6941,org/apache/commons/collections4/map/AbstractSortedMapDecorator.java,87,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6970,org/apache/commons/collections4/set/UnmodifiableSortedSet.java,62,17,ReturnValsMutator,SURVIVED,no,high,1 min,
7235,org/apache/commons/collections4/iterators/AbstractOrderedMapIteratorDecorator.java,82,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7401,org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,694,18,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7447,org/apache/commons/collections4/bidimap/DualTreeBidiMap.java,255,8,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7486,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,2407,33,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
7623,org/apache/commons/collections4/multimap/ArrayListValuedHashMap.java,136,9,VoidMethodCallMutator,NO_COVERAGE,no,medium,5 min,
7681,org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,871,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7778,org/apache/commons/collections4/bidimap/TreeBidiMap.java,1563,5,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,
7923,org/apache/commons/collections4/bag/AbstractMapBag.java,433,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8011,org/apache/commons/collections4/set/ListOrderedSet.java,422,7,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8077,org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,761,11,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
8091,org/apache/commons/collections4/map/ReferenceMap.java,196,4,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,in.defaultReadObject()
8152,org/apache/commons/collections4/multimap/AbstractMultiValuedMap.java,626,10,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
8301,org/apache/commons/collections4/map/Flat3Map.java,1112,6,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
