Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
3912,org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java,438,42,VoidMethodCallMutator,SURVIVED,no,high,1 min,
3939,org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java,519,59,MathMutator,NO_COVERAGE,no,high,1 min,
3996,org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,617,57,VoidMethodCallMutator,SURVIVED,no,high,1 min,
4003,org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,294,43,VoidMethodCallMutator,SURVIVED,no,high,1 min,flush()
4015,org/apache/commons/compress/archivers/tar/TarArchiveOutputStream.java,669,37,ReturnValsMutator,SURVIVED,no,high,1 min,
4101,org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,184,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
4212,org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,527,16,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
4236,org/apache/commons/compress/archivers/tar/TarArchiveInputStream.java,568,14,NegateConditionalsMutator,SURVIVED,no,high,1 min,
4361,org/apache/commons/compress/compressors/lz77support/LZ77Compressor.java,344,43,ConditionalsBoundaryMutator,SURVIVED,no,high,1 min,
4707,org/apache/commons/compress/archivers/dump/DumpArchiveInputStream.java,492,130,MathMutator,SURVIVED,no,high,1 min,
4775,org/apache/commons/compress/archivers/zip/ZipUtil.java,352,29,NegateConditionalsMutator,NO_COVERAGE,no,medium,1 min,
4781,org/apache/commons/compress/archivers/zip/ZipUtil.java,302,13,VoidMethodCallMutator,NO_COVERAGE,no,low,5 min,a void copy method?
5074,org/apache/commons/compress/archivers/cpio/CpioArchiveEntry.java,911,13,MathMutator,NO_COVERAGE,no,high,1 min,hash
5089,org/apache/commons/compress/archivers/cpio/CpioArchiveEntry.java,691,16,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
5127,org/apache/commons/compress/compressors/lz4/BlockLZ4CompressorOutputStream.java,292,40,NegateConditionalsMutator,SURVIVED,no,high,1 min,pairsToKeep and pairLength increased too much?
5315,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,412,36,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
5318,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,421,61,NegateConditionalsMutator,NO_COVERAGE,no,high,1 min,
5342,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,696,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,getter
5347,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,752,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,getter
5363,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,394,8,MathMutator,SURVIVED,no,high,1 min,
5375,org/apache/commons/compress/archivers/dump/DumpArchiveEntry.java,472,113,MathMutator,SURVIVED,no,high,1 min,
5428,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,336,43,MathMutator,NO_COVERAGE,no,high,1 min,
5448,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,351,179,MathMutator,NO_COVERAGE,no,high,1 min,
5450,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,351,183,MathMutator,NO_COVERAGE,no,high,1 min,
5456,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,354,217,MathMutator,NO_COVERAGE,no,high,1 min,
5461,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,355,233,MathMutator,NO_COVERAGE,no,high,1 min,
5482,org/apache/commons/compress/archivers/zip/X0017_StrongEncryptionHeader.java,365,343,MathMutator,NO_COVERAGE,no,high,1 min,
5699,org/apache/commons/compress/compressors/snappy/FramedSnappyCompressorInputStream.java,188,9,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
6396,org/apache/commons/compress/compressors/lz4/FramedLZ4CompressorOutputStream.java,220,75,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,flush()
7078,org/apache/commons/compress/archivers/zip/BinaryTree.java,145,160,ConditionalsBoundaryMutator,SURVIVED,no,high,2 min,
7152,org/apache/commons/compress/archivers/zip/GeneralPurposeBit.java,218,54,ReturnValsMutator,NO_COVERAGE,no,high,1 min,hashcode
7212,org/apache/commons/compress/archivers/zip/X7875_NewUnix.java,293,16,MathMutator,SURVIVED,no,high,1 min,hashcode
7213,org/apache/commons/compress/archivers/zip/X7875_NewUnix.java,294,24,MathMutator,SURVIVED,no,high,1 min,hashcode
7246,org/apache/commons/compress/archivers/dump/DumpArchiveSummary.java,327,62,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7253,org/apache/commons/compress/archivers/dump/DumpArchiveSummary.java,200,5,ReturnValsMutator,NO_COVERAGE,no,high,1 min,getter
7314,org/apache/commons/compress/compressors/z/ZCompressorInputStream.java,142,43,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
