Mutant,File,Line,Index,Mutator,Status,Equivalent,Confidence,Time,Comments
6050,org/apache/commons/imaging/formats/tiff/datareaders/DataReaderStrips.java,235,26,MathMutator,SURVIVED,no,low,10 min,"It is updating the local variables but effecting line 251,277."
6072,org/apache/commons/imaging/formats/tiff/datareaders/DataReaderStrips.java,266,151,VoidMethodCallMutator,SURVIVED,no,high,5 min,Method has some implementation
6108,org/apache/commons/imaging/palette/ColorSpaceSubset.java,83,100,NegateConditionalsMutator,NO_COVERAGE,no,high,3 min,maxs array is external to the function.
6189,org/apache/commons/imaging/palette/ColorSpaceSubset.java,160,186,MathMutator,SURVIVED,no,low,15 min,"variable rgb is global, can effect other functions"
6317,org/apache/commons/imaging/internal/Debug.java,221,22,VoidMethodCallMutator,SURVIVED,no,medium,10 min,
6594,org/apache/commons/imaging/formats/jpeg/iptc/IptcParser.java,382,177,VoidMethodCallMutator,SURVIVED,no,high,2 min,Subclasses can extend the class and add functionality to flush.
6837,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,314,254,MathMutator,NO_COVERAGE,no,high,1 min,
6845,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,287,63,NegateConditionalsMutator,NO_COVERAGE,no,high,2 min,The image type is assigned to the unintended one’s
6853,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,310,226,NegateConditionalsMutator,NO_COVERAGE,no,high,5 min,
6861,org/apache/commons/imaging/formats/icns/IcnsImageParser.java,313,248,VoidMethodCallMutator,NO_COVERAGE,no,high,1 min,Method has some implementation
6904,org/apache/commons/imaging/formats/tiff/datareaders/BitInputStream.java,115,272,MathMutator,NO_COVERAGE,no,high,1 min,
6940,org/apache/commons/imaging/formats/tiff/datareaders/BitInputStream.java,79,114,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7107,org/apache/commons/imaging/formats/bmp/PixelParserRgb.java,52,83,MathMutator,SURVIVED,no,high,1 min,
7249,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterLogLuv.java,35,7,MathMutator,NO_COVERAGE,no,high,1 min,
7286,org/apache/commons/imaging/formats/tiff/photometricinterpreters/PhotometricInterpreterLogLuv.java,98,207,MathMutator,NO_COVERAGE,no,medium,5 min,behaviour of the passed object imageBuilder would be changed due to the change of propogation
7322,org/apache/commons/imaging/ImageParser.java,934,13,ReturnValsMutator,NO_COVERAGE,no,high,1 min,
7401,org/apache/commons/imaging/formats/tiff/write/TiffImageWriterLossless.java,236,136,ConditionalsBoundaryMutator,SURVIVED,no,low,15 min,effects line 255 and propogates futher.
7520,org/apache/commons/imaging/palette/ColorGroup.java,75,214,MathMutator,SURVIVED,no,high,2 min,
